ticket_id,account_id,created_at,status,priority,closed_at
219,112,2026-01-30,solved,medium,2026-02-05
220,99,2025-12-25,pending,medium,
221,86,2025-09-22,solved,high,2025-09-27
222,95,2025-09-14,solved,low,2025-09-25
223,54,2026-01-02,solved,low,2026-01-11
224,42,2026-02-18,solved,high,2026-02-19
225,96,2025-09-20,pending,low,
226,77,2026-03-06,pending,low,
227,4,2025-10-17,solved,medium,2025-10-24
228,46,2025-09-17,solved,low,2025-09-24
229,21,2026-02-12,closed,low,2026-02-22
230,27,2025-12-28,solved,low,2026-01-07
231,118,2025-09-24,solved,high,2025-09-26
232,25,2025-12-15,solved,urgent,2025-12-15
233,1,2026-02-24,closed,medium,2026-03-04
234,79,2025-12-25,pending,medium,
235,51,2025-12-11,pending,low,
236,93,2026-03-01,solved,medium,2026-03-09
237,55,2026-02-11,solved,medium,2026-02-18
238,87,2026-02-14,solved,low,2026-02-22
239,46,2026-01-24,solved,low,2026-02-05
240,24,2026-03-04,open,low,
241,58,2026-03-03,solved,high,2026-03-05
242,74,2025-10-06,solved,low,2025-10-20
243,89,2025-11-21,open,medium,
244,61,2025-12-26,closed,medium,2025-12-29
245,96,2026-02-06,solved,medium,2026-02-14
246,6,2026-02-14,solved,medium,2026-02-20
247,101,2025-11-15,solved,low,2025-11-26
248,113,2025-12-23,open,medium,
249,9,2026-02-17,closed,high,2026-02-21
250,55,2025-12-05,solved,low,2025-12-14
251,48,2025-10-09,closed,low,2025-10-19
252,50,2026-03-03,open,low,
253,104,2025-09-26,solved,high,2025-09-28
254,34,2025-12-09,solved,high,2025-12-12
255,111,2026-02-23,solved,low,2026-03-07
256,114,2025-11-19,solved,low,2025-11-26
257,104,2025-09-16,closed,low,2025-09-25
258,108,2026-01-19,closed,medium,2026-01-27
259,8,2025-12-15,closed,low,2025-12-25
260,120,2025-12-08,solved,low,2025-12-18
261,97,2026-02-19,solved,urgent,2026-02-25
262,108,2025-10-07,solved,medium,2025-10-11
263,16,2025-10-13,closed,medium,2025-10-20
264,80,2025-09-17,pending,high,
265,103,2025-11-08,solved,high,2025-11-14
266,103,2025-12-14,open,medium,
267,82,2026-03-04,closed,medium,2026-03-08
268,115,2026-02-11,open,low,
269,58,2025-12-30,solved,medium,2026-01-06
270,4,2025-11-16,solved,low,2025-11-24
271,15,2025-11-28,closed,low,2025-12-08
272,26,2025-10-10,pending,medium,
273,51,2026-02-28,open,low,
274,65,2026-01-31,closed,low,2026-02-09
275,28,2025-12-01,open,low,
276,47,2026-02-25,solved,low,2026-03-06
277,116,2026-03-01,closed,medium,2026-03-06
278,99,2025-10-16,open,high,
279,32,2026-01-06,closed,medium,2026-01-12
280,63,2025-12-24,open,medium,
281,70,2026-01-24,open,medium,
282,82,2025-11-30,solved,low,2025-12-11
283,97,2026-01-12,solved,low,2026-01-23
284,68,2026-03-09,open,medium,
285,21,2026-03-06,solved,medium,2026-03-09
286,5,2025-12-07,open,medium,
287,87,2026-02-15,pending,medium,
288,13,2026-02-08,solved,medium,2026-02-14
289,51,2026-02-24,closed,low,2026-03-04
290,95,2025-11-14,solved,low,2025-11-22
291,48,2026-03-12,pending,low,
292,108,2025-11-08,closed,high,2025-11-11
293,74,2026-02-04,open,high,
294,8,2026-01-11,solved,low,2026-01-21
295,11,2025-11-21,solved,low,2025-11-29
296,74,2025-10-19,closed,low,2025-10-27
297,70,2025-09-21,closed,medium,2025-09-29
298,49,2025-09-26,closed,low,2025-10-04
299,62,2026-03-01,solved,low,2026-03-10
300,77,2026-02-10,closed,high,2026-02-16
301,66,2026-02-19,solved,low,2026-02-25
302,71,2025-10-08,pending,low,
303,100,2025-12-05,closed,low,2025-12-13
304,5,2025-12-20,solved,medium,2025-12-30
305,76,2026-01-16,closed,medium,2026-01-22
306,43,2026-02-18,closed,high,2026-02-27
307,45,2025-09-19,closed,medium,2025-09-27
308,51,2026-01-27,solved,medium,2026-02-01
309,17,2026-02-28,open,medium,
310,13,2025-11-21,open,low,
311,24,2026-01-06,open,high,
312,79,2026-03-03,solved,medium,2026-03-10
313,47,2026-03-12,open,medium,
314,22,2025-09-14,solved,low,2025-09-23
315,82,2026-02-08,closed,high,2026-02-14
316,16,2025-12-06,closed,medium,2025-12-14
317,14,2026-03-01,solved,high,2026-03-07
318,86,2026-01-29,solved,high,2026-02-03
319,120,2026-02-10,solved,low,2026-02-18
320,76,2026-01-28,solved,high,2026-01-29
321,72,2025-10-21,solved,medium,2025-10-24
322,99,2025-11-01,pending,high,
323,25,2026-02-01,pending,low,
324,78,2025-10-16,solved,high,2025-10-18
325,54,2026-02-23,solved,urgent,2026-02-25
326,17,2025-12-04,closed,medium,2025-12-12
327,12,2026-01-05,solved,medium,2026-01-12
328,111,2025-12-31,open,medium,
329,35,2025-09-16,solved,high,2025-09-16
330,8,2025-11-07,solved,low,2025-11-19
331,99,2026-02-05,solved,medium,2026-02-08
332,119,2025-10-29,closed,high,2025-11-01
333,120,2025-10-01,open,high,
334,115,2026-02-21,closed,medium,2026-02-28
335,79,2025-11-26,pending,low,
336,95,2025-09-24,closed,medium,2025-10-03
337,105,2025-11-21,closed,low,2025-11-26
338,50,2026-02-21,solved,low,2026-03-03
339,104,2025-10-08,open,high,
340,44,2025-09-22,closed,low,2025-10-03
341,21,2025-09-28,open,urgent,
342,95,2025-10-07,solved,low,2025-10-18
343,1,2025-10-01,closed,medium,2025-10-06
344,46,2026-02-09,solved,urgent,2026-02-09
345,33,2025-12-31,open,low,
346,117,2025-12-15,open,low,
347,31,2025-12-18,solved,low,2025-12-27
348,95,2025-10-18,closed,low,2025-10-31
349,55,2026-01-08,solved,low,2026-01-19
350,10,2025-12-18,open,medium,
351,71,2025-12-29,closed,low,2026-01-12
352,19,2025-10-29,solved,low,2025-11-09
353,68,2025-10-03,solved,medium,2025-10-05
354,44,2025-12-30,closed,low,2026-01-09
355,96,2026-01-04,closed,medium,2026-01-11
356,77,2025-11-27,open,high,
357,89,2026-01-06,closed,medium,2026-01-10
358,99,2025-09-27,solved,low,2025-10-08
359,80,2025-12-09,closed,low,2025-12-18
360,36,2025-12-10,solved,high,2025-12-14
361,67,2025-11-03,closed,high,2025-11-07
362,64,2026-03-10,pending,medium,
363,51,2025-11-25,solved,urgent,2025-11-25
364,96,2025-11-22,closed,medium,2025-11-28
365,104,2025-12-03,solved,medium,2025-12-10
366,93,2025-09-24,open,low,
367,31,2025-11-20,closed,urgent,2025-11-22
368,11,2025-11-20,open,medium,
369,98,2025-11-07,pending,high,
370,89,2025-11-12,solved,medium,2025-11-18
371,106,2026-02-22,solved,high,2026-02-27
372,63,2026-01-21,solved,high,2026-01-24
373,114,2026-01-01,pending,low,
374,107,2025-12-13,solved,medium,2025-12-19
375,89,2025-09-17,closed,high,2025-09-19
376,45,2025-10-25,solved,urgent,2025-10-25
377,94,2025-11-13,open,medium,
378,47,2026-02-04,solved,medium,2026-02-12
379,26,2026-01-19,closed,high,2026-01-23
380,18,2026-01-03,solved,medium,2026-01-09
381,55,2026-03-10,open,medium,
382,44,2026-01-11,closed,medium,2026-01-15
383,10,2025-10-07,solved,medium,2025-10-12
384,67,2025-12-31,solved,high,2026-01-02
385,39,2026-03-12,pending,high,
386,120,2025-10-04,open,low,
387,19,2026-03-03,solved,medium,2026-03-06
388,40,2025-09-14,solved,low,2025-09-23
389,37,2025-10-19,open,low,
390,61,2025-11-12,solved,low,2025-11-21
391,105,2026-02-11,closed,high,2026-02-12
392,116,2025-10-26,solved,medium,2025-10-31
393,13,2026-03-02,closed,medium,2026-03-07
394,40,2025-12-11,solved,medium,2025-12-17
395,60,2026-01-30,open,low,
396,69,2025-11-19,solved,medium,2025-11-27
397,77,2025-10-02,closed,high,2025-10-02
398,14,2026-03-06,open,low,
399,9,2025-10-21,solved,medium,2025-10-25
400,60,2026-01-08,solved,medium,2026-01-14
401,18,2025-09-21,solved,medium,2025-10-01
402,63,2025-11-27,solved,high,2025-12-03
403,92,2025-12-14,solved,urgent,2025-12-20
404,8,2025-10-09,pending,medium,
405,56,2025-10-05,closed,low,2025-10-16
406,23,2025-09-16,solved,medium,2025-09-20
407,83,2025-10-28,closed,urgent,2025-10-29
408,18,2025-10-02,solved,medium,2025-10-06
409,56,2026-01-28,closed,high,2026-02-03
410,45,2026-02-26,solved,medium,2026-03-07
411,72,2025-11-30,solved,medium,2025-12-02
412,63,2025-09-27,closed,low,2025-10-08
413,79,2025-12-22,solved,low,2025-12-29
414,35,2025-09-17,closed,low,2025-09-26
415,112,2025-10-18,pending,low,
416,101,2025-12-11,solved,low,2025-12-22
417,42,2026-02-13,pending,low,
418,89,2025-12-29,solved,medium,2026-01-03
419,78,2026-03-12,open,low,
420,34,2026-02-27,closed,high,2026-03-02
421,52,2026-02-06,solved,low,2026-02-14
422,31,2025-12-17,closed,low,2025-12-31
423,11,2025-11-15,solved,low,2025-11-26
424,58,2025-09-19,solved,medium,2025-09-27
425,44,2026-01-08,solved,low,2026-01-21
426,14,2026-02-20,open,high,
427,36,2025-11-07,pending,low,
428,104,2025-12-02,solved,medium,2025-12-08
429,43,2026-01-21,solved,low,2026-01-31
430,67,2025-11-13,solved,urgent,2025-11-13
431,28,2026-01-16,closed,low,2026-01-24
432,35,2025-11-18,solved,low,2025-11-27
433,119,2026-03-05,pending,low,
434,53,2026-01-02,pending,low,
435,66,2025-11-11,solved,medium,2025-11-17
436,6,2025-11-26,solved,low,2025-12-07
437,117,2025-12-31,open,low,
438,54,2026-02-16,solved,high,2026-02-16
439,117,2025-10-19,open,medium,
440,17,2025-09-28,solved,high,2025-10-03
441,71,2026-02-26,closed,low,2026-03-09
442,17,2026-02-21,pending,medium,
443,45,2025-10-22,open,medium,
444,119,2025-12-20,solved,medium,2025-12-28
445,61,2026-01-10,solved,medium,2026-01-14
446,63,2025-12-26,solved,medium,2026-01-02
447,17,2026-01-22,open,high,
448,8,2025-10-05,solved,low,2025-10-19
449,118,2026-03-08,closed,medium,2026-03-12
450,41,2026-02-26,closed,low,2026-03-03
451,23,2025-12-18,pending,high,
452,8,2025-12-11,closed,medium,2025-12-17
453,77,2026-02-23,solved,high,2026-02-26
454,59,2025-10-29,solved,medium,2025-11-04
455,4,2026-02-02,closed,low,2026-02-11
456,91,2026-03-07,open,low,
457,7,2025-11-03,pending,medium,
458,25,2026-01-30,open,low,
459,69,2026-03-08,solved,urgent,2026-03-09
460,18,2025-11-06,solved,medium,2025-11-10
461,73,2026-02-20,solved,medium,2026-02-28
462,85,2025-09-25,pending,low,
463,99,2026-01-04,solved,low,2026-01-14
464,52,2025-12-11,solved,high,2025-12-13
465,62,2025-12-21,solved,medium,2025-12-30
466,115,2026-02-23,solved,medium,2026-03-02
467,14,2026-03-10,open,medium,
468,120,2026-02-12,solved,high,2026-02-16
469,4,2025-11-09,open,medium,
470,62,2026-02-27,pending,medium,
471,117,2026-01-17,closed,high,2026-01-21
472,36,2026-01-23,closed,medium,2026-01-29
473,24,2025-12-14,closed,high,2025-12-15
474,78,2026-01-26,solved,low,2026-02-08
475,25,2025-09-21,closed,low,2025-10-02
476,102,2025-10-26,closed,low,2025-11-02
477,109,2026-02-24,solved,low,2026-03-08
478,38,2025-12-15,solved,high,2025-12-22
479,47,2025-11-09,solved,low,2025-11-18
480,25,2026-01-21,solved,low,2026-01-29
481,67,2025-12-15,solved,low,2025-12-26
482,1,2026-02-12,solved,low,2026-02-21
483,6,2025-12-04,open,low,
484,78,2026-02-19,solved,low,2026-02-27
485,8,2026-01-31,closed,medium,2026-02-04
486,45,2025-10-06,pending,low,
487,93,2025-11-17,solved,medium,2025-11-24
488,109,2026-03-04,open,medium,
489,82,2026-01-09,solved,low,2026-01-19
490,117,2026-03-12,open,medium,
491,87,2026-03-08,pending,low,
492,113,2025-10-31,pending,low,
493,28,2026-01-23,open,low,
494,27,2025-11-21,solved,low,2025-11-30
495,86,2026-01-12,solved,medium,2026-01-15
496,102,2026-02-12,solved,medium,2026-02-17
497,34,2025-10-17,solved,high,2025-10-22
498,43,2025-11-05,closed,low,2025-11-15
499,7,2026-02-19,closed,medium,2026-02-25
500,110,2025-11-08,closed,medium,2025-11-15
501,20,2026-01-26,closed,medium,2026-02-04
502,113,2026-01-01,solved,low,2026-01-13
503,99,2025-10-01,pending,low,
504,64,2025-11-16,solved,medium,2025-11-23
505,38,2025-10-13,pending,low,
506,114,2026-02-15,closed,high,2026-02-19
507,20,2025-09-22,solved,urgent,2025-09-26
508,23,2025-10-02,open,high,
509,48,2026-01-05,solved,low,2026-01-15
510,105,2025-11-18,solved,low,2025-11-28
511,104,2026-03-11,open,low,
512,112,2026-03-10,pending,low,
513,67,2025-09-29,solved,medium,2025-10-05
514,49,2025-11-14,closed,high,2025-11-16
515,76,2026-01-24,solved,low,2026-02-02
516,73,2026-02-11,closed,medium,2026-02-17
517,42,2025-10-30,closed,low,2025-11-09
518,97,2025-12-02,closed,low,2025-12-14
519,39,2025-10-02,open,low,
520,8,2025-12-13,open,urgent,
521,88,2025-10-10,solved,medium,2025-10-21
522,47,2026-02-17,solved,high,2026-02-22
523,96,2025-12-07,solved,low,2025-12-16
524,22,2026-01-18,closed,low,2026-01-31
525,32,2026-01-14,solved,low,2026-01-22
526,105,2026-01-31,closed,high,2026-02-05
527,5,2025-10-02,pending,low,
528,2,2025-11-04,solved,low,2025-11-12
529,22,2025-09-29,solved,low,2025-10-06
530,112,2025-11-11,solved,medium,2025-11-15
531,13,2025-11-05,solved,high,2025-11-10
532,20,2026-02-22,open,medium,
533,5,2025-12-09,open,low,
534,117,2026-01-20,open,medium,
535,36,2026-01-10,open,medium,
536,51,2026-02-07,closed,low,2026-02-16
537,73,2025-11-03,closed,medium,2025-11-10
538,109,2025-09-28,closed,low,2025-10-09
539,48,2026-02-08,pending,low,
540,88,2025-11-10,closed,high,2025-11-14
541,105,2025-09-24,solved,low,2025-10-05
542,105,2025-10-24,open,low,
543,11,2025-12-14,open,medium,
544,31,2026-01-10,pending,low,
545,78,2026-03-04,closed,medium,2026-03-06
546,59,2026-01-13,solved,high,2026-01-17
547,106,2025-11-12,solved,low,2025-11-21
548,14,2026-03-07,pending,high,
549,117,2025-10-18,open,medium,
550,53,2026-01-06,solved,low,2026-01-19
551,102,2025-12-12,solved,low,2025-12-23
552,74,2026-01-24,closed,medium,2026-01-29
553,90,2025-10-27,solved,urgent,2025-10-31
554,22,2026-01-01,solved,medium,2026-01-07
555,72,2026-02-25,closed,low,2026-03-04
556,20,2025-11-29,closed,low,2025-12-11
557,43,2026-01-27,closed,low,2026-02-08
558,15,2026-03-03,closed,urgent,2026-03-04
559,116,2026-02-24,solved,high,2026-02-26
560,78,2026-02-21,open,high,
561,92,2026-01-25,solved,low,2026-02-02
562,78,2026-03-11,pending,medium,
563,112,2025-12-12,solved,medium,2025-12-18
564,25,2025-12-27,solved,medium,2026-01-02
565,98,2025-10-06,solved,high,2025-10-11
566,12,2025-11-11,open,low,
567,27,2025-10-05,solved,urgent,2025-10-10
568,8,2026-01-12,open,high,
569,10,2026-03-11,pending,medium,
570,9,2025-11-12,closed,medium,2025-11-13
571,52,2026-01-13,closed,low,2026-01-22
572,55,2026-02-10,closed,medium,2026-02-17
573,59,2025-12-25,open,medium,
574,5,2025-10-17,solved,high,2025-10-17
575,34,2025-11-10,open,medium,
576,120,2025-11-28,open,medium,
577,100,2025-11-02,closed,low,2025-11-15
578,77,2025-10-03,open,medium,
579,59,2025-10-28,closed,medium,2025-11-02
580,15,2026-01-02,open,high,
581,44,2026-02-11,solved,medium,2026-02-16
582,60,2025-10-28,solved,low,2025-11-08
583,46,2026-02-03,closed,urgent,2026-02-05
584,90,2025-10-21,closed,high,2025-10-24
585,115,2026-02-11,solved,high,2026-02-13
586,79,2025-10-31,pending,low,
587,74,2025-09-16,pending,medium,
588,42,2026-03-06,open,low,
589,76,2025-10-27,solved,high,2025-10-30
590,106,2026-03-04,open,low,
591,95,2025-10-02,solved,medium,2025-10-07
592,92,2026-02-27,solved,low,2026-03-06
593,22,2026-02-10,closed,medium,2026-02-14
594,24,2025-09-21,solved,low,2025-10-01
595,44,2025-09-21,solved,low,2025-10-03
596,50,2026-02-15,solved,medium,2026-02-20
597,80,2025-12-28,open,medium,
598,71,2025-09-18,closed,low,2025-09-24
599,19,2026-03-01,solved,medium,2026-03-06
600,60,2026-02-23,solved,medium,2026-03-02
601,106,2025-12-26,solved,high,2026-01-01
602,35,2026-01-29,solved,low,2026-02-06
603,78,2026-02-21,solved,high,2026-02-22
604,120,2026-01-26,solved,high,2026-01-30
605,59,2025-11-01,pending,low,
606,96,2025-10-12,closed,low,2025-10-20
607,56,2025-10-14,solved,medium,2025-10-22
608,29,2025-11-04,pending,medium,
609,74,2025-11-12,open,medium,
610,66,2025-11-18,solved,low,2025-11-29
611,78,2026-02-18,solved,low,2026-03-01
612,74,2026-03-10,pending,high,
613,109,2026-02-24,solved,low,2026-03-06
614,16,2026-02-16,solved,high,2026-02-20
615,11,2025-10-06,closed,medium,2025-10-12
616,29,2026-02-01,closed,low,2026-02-09
617,110,2026-02-06,open,medium,
618,98,2025-10-13,open,medium,
619,94,2025-10-25,solved,medium,2025-11-02
620,24,2025-12-23,solved,low,2026-01-03
621,118,2025-09-23,open,medium,
622,19,2026-02-22,open,high,
623,87,2026-03-06,open,low,
624,106,2025-11-27,closed,medium,2025-12-04
625,61,2025-09-29,closed,low,2025-10-12
626,55,2026-02-14,solved,low,2026-02-20
627,60,2025-10-29,solved,medium,2025-11-05
628,116,2026-02-21,solved,medium,2026-03-02
629,115,2026-01-30,solved,medium,2026-02-09
630,115,2026-03-07,open,low,
631,111,2026-01-15,solved,low,2026-01-30
632,84,2025-11-01,open,low,
633,103,2025-11-26,open,medium,
634,71,2025-11-19,open,medium,
635,21,2025-12-24,closed,urgent,2025-12-24
636,41,2025-12-19,closed,urgent,2025-12-22
637,21,2025-10-09,solved,high,2025-10-10
638,91,2026-02-05,solved,high,2026-02-07
639,71,2026-01-19,solved,medium,2026-01-24
640,35,2025-11-30,pending,medium,
641,63,2025-11-18,solved,medium,2025-11-24
642,75,2025-10-14,pending,low,
643,94,2025-11-23,closed,medium,2025-12-03
644,116,2026-01-02,solved,medium,2026-01-09
