product_id,category,brand,cost
81,personal_care,Vale,16.37
82,pets,Rio,51.22
83,produce,Acme,52.12
84,snacks,Rio,53.48
85,snacks,Sol,32.26
86,dairy,Acme,52.38
87,coffee,Zeta,59.55
88,personal_care,Sol,59.24
89,produce,Zeta,19.67
90,coffee,Nova,29.77
91,coffee,Vale,38.44
92,beer,Rio,17.14
93,coffee,Zeta,29.89
94,snacks,Zeta,37.25
95,dairy,Sol,26.31
96,produce,Sol,1.28
97,cleaning,Vale,57.05
98,personal_care,Orbit,2.06
99,beer,Orbit,14.35
100,personal_care,Prime,8.61
101,dairy,Prime,10.85
102,beer,Prime,56.96
103,produce,Vale,26.59
104,coffee,Vale,59.77
105,produce,Vale,45.26
106,coffee,Sol,2.13
107,cleaning,Zeta,13.46
108,beer,Zeta,8.27
109,beer,Sol,52.72
110,pets,Acme,36.04
111,beer,Nova,39.56
112,beer,Acme,41.7
113,dairy,Rio,23.43
114,pets,Rio,42.41
115,cleaning,Acme,18.77
116,snacks,Prime,37.75
117,coffee,Sol,50.01
118,snacks,Nova,17.68
119,snacks,Rio,12.72
120,cleaning,Prime,50.06
121,cleaning,Vale,42.5
122,pets,Zeta,3.32
123,produce,Orbit,41.6
124,produce,Vale,14.84
125,beer,Nova,54.51
126,produce,Zeta,57.02
127,snacks,Nova,54.38
128,cleaning,Rio,59.33
129,pets,Prime,28.39
130,snacks,Zeta,52.57
131,pets,Vale,48.29
132,personal_care,Sol,44.57
133,snacks,Acme,1.57
134,coffee,Zeta,20.39
135,produce,Prime,52.83
136,snacks,Vale,49.08
137,coffee,Nova,24.65
138,produce,Prime,50.31
139,produce,Sol,39.28
140,coffee,Nova,8.82
141,beer,Zeta,7.12
142,produce,Rio,11.69
143,dairy,Vale,37.07
144,coffee,Rio,55.3
145,snacks,Sol,27.0
146,snacks,Prime,39.64
147,beer,Orbit,58.7
148,personal_care,Nova,26.54
149,cleaning,Rio,21.4
150,dairy,Zeta,50.5
151,beer,Acme,38.96
152,coffee,Rio,51.26
153,coffee,Nova,45.33
154,personal_care,Orbit,20.52
155,pets,Acme,30.91
156,dairy,Sol,49.21
157,snacks,Rio,27.21
158,produce,Nova,51.54
159,produce,Vale,8.0
160,produce,Acme,7.06
161,dairy,Acme,33.87
162,beer,Nova,47.72
163,pets,Orbit,39.62
164,produce,Vale,22.44
165,beer,Orbit,50.81
166,personal_care,Rio,43.28
167,personal_care,Rio,7.73
168,cleaning,Acme,21.14
169,pets,Vale,42.42
170,beer,Zeta,30.05
171,dairy,Nova,16.0
172,cleaning,Orbit,8.12
173,dairy,Orbit,27.97
174,cleaning,Vale,7.36
175,dairy,Acme,55.67
176,snacks,Rio,27.99
177,coffee,Rio,1.26
178,beer,Sol,50.49
179,produce,Zeta,41.82
180,coffee,Zeta,7.11
181,personal_care,Sol,25.7
182,cleaning,Prime,24.47
183,personal_care,Prime,27.72
184,coffee,Zeta,25.35
185,pets,Vale,43.0
186,cleaning,Orbit,13.37
187,pets,Vale,55.35
188,coffee,Zeta,30.73
189,personal_care,Nova,45.89
190,produce,Sol,40.78
191,pets,Sol,48.69
192,snacks,Acme,23.47
193,beer,Acme,12.79
194,coffee,Prime,41.32
195,coffee,Acme,41.75
196,pets,Orbit,45.46
197,beer,Vale,49.03
198,snacks,Orbit,44.8
199,dairy,Orbit,31.14
200,pets,Acme,55.66
201,dairy,Sol,57.45
202,personal_care,Acme,1.76
203,pets,Orbit,37.61
204,produce,Orbit,54.78
205,personal_care,Orbit,46.79
206,cleaning,Prime,27.48
207,snacks,Zeta,57.79
208,snacks,Sol,3.4
209,pets,Prime,8.67
210,pets,Acme,20.5
211,coffee,Acme,10.07
212,personal_care,Acme,46.65
213,pets,Rio,47.6
214,personal_care,Nova,47.26
215,personal_care,Orbit,57.46
216,snacks,Zeta,25.54
217,dairy,Nova,21.61
218,cleaning,Vale,20.53
219,pets,Orbit,57.07
220,produce,Acme,7.77
221,personal_care,Rio,15.18
222,cleaning,Acme,41.27
223,personal_care,Sol,55.04
224,snacks,Sol,16.14
225,pets,Acme,54.77
226,personal_care,Rio,29.72
227,pets,Orbit,19.9
228,snacks,Nova,10.88
229,beer,Nova,13.44
230,cleaning,Sol,50.3
231,cleaning,Sol,39.15
232,snacks,Zeta,2.4
233,personal_care,Acme,6.16
234,beer,Zeta,47.86
235,snacks,Orbit,54.75
236,dairy,Sol,27.62
237,dairy,Sol,19.67
238,dairy,Nova,32.56
239,snacks,Acme,42.35
240,snacks,Vale,55.75
241,snacks,Prime,47.43
242,pets,Nova,17.61
243,produce,Sol,24.31
244,beer,Rio,10.22
245,cleaning,Zeta,45.06
246,pets,Zeta,18.59
247,personal_care,Acme,33.66
248,coffee,Nova,3.46
249,dairy,Nova,18.98
250,personal_care,Orbit,25.35
