subscription_id,user_id,plan,start_date,end_date,status
138,206,basic,2025-12-28,2026-01-26,cancelled
139,207,enterprise,2026-01-07,,active
140,210,basic,2026-02-07,2026-02-24,cancelled
141,212,enterprise,2026-01-07,2026-02-02,cancelled
142,213,basic,2026-01-19,2026-03-07,cancelled
143,214,basic,2025-12-05,2025-12-28,cancelled
144,219,pro,2026-01-14,2026-02-23,expired
145,221,pro,2026-03-08,,active
146,222,basic,2026-03-03,2026-03-17,cancelled
147,223,basic,2026-01-22,,active
148,224,pro,2026-01-05,2026-02-23,cancelled
149,225,pro,2026-02-16,2026-03-12,cancelled
150,226,pro,2026-03-06,,active
151,227,basic,2026-03-07,,active
152,228,basic,2026-02-21,2026-03-10,expired
153,229,pro,2026-01-30,,active
154,230,basic,2026-02-07,,active
155,231,enterprise,2026-02-05,2026-02-28,cancelled
156,232,enterprise,2026-01-15,,active
157,234,basic,2026-03-10,2026-03-24,cancelled
158,235,basic,2026-02-20,,active
159,236,basic,2026-02-11,,active
160,237,enterprise,2026-01-04,2026-03-09,cancelled
161,238,pro,2026-02-10,2026-02-27,cancelled
162,239,pro,2026-02-21,,active
163,242,pro,2026-03-07,,active
164,245,pro,2026-01-08,2026-03-03,cancelled
165,246,basic,2026-01-19,2026-02-22,cancelled
166,247,basic,2026-03-05,2026-03-19,expired
167,248,basic,2026-03-11,,active
168,249,basic,2026-01-19,,active
169,251,basic,2026-01-18,,active
170,253,basic,2026-03-03,,active
171,254,basic,2026-02-16,2026-03-10,cancelled
172,255,pro,2026-01-05,2026-02-24,cancelled
173,257,basic,2026-02-02,,active
174,260,basic,2026-02-18,2026-03-11,cancelled
175,262,basic,2026-02-09,,active
176,263,enterprise,2025-12-03,2026-01-22,cancelled
177,265,basic,2026-02-18,,active
178,267,basic,2026-03-04,,active
179,268,pro,2025-12-18,2026-01-03,cancelled
180,270,basic,2025-11-20,,active
181,272,basic,2026-02-01,,active
182,276,basic,2026-02-13,2026-03-09,cancelled
183,278,pro,2026-01-21,,active
184,279,basic,2025-12-04,,active
185,280,enterprise,2025-10-24,,active
186,282,basic,2026-02-15,,active
187,284,basic,2026-01-24,,active
188,285,basic,2026-02-21,2026-03-07,expired
189,287,basic,2025-12-28,2026-01-16,expired
190,288,pro,2026-03-07,,active
191,289,basic,2025-12-06,2026-01-31,cancelled
192,290,pro,2025-12-17,2026-02-08,cancelled
193,293,enterprise,2026-03-06,,active
194,296,basic,2026-03-09,,active
195,298,basic,2025-12-25,2026-03-01,expired
196,299,pro,2025-12-21,,active
197,300,basic,2025-09-19,2026-03-08,cancelled
198,301,pro,2026-02-25,,active
199,303,pro,2026-01-26,,active
200,305,pro,2026-03-10,2026-03-24,cancelled
201,306,basic,2026-03-06,2026-03-20,expired
202,308,pro,2026-02-13,2026-02-28,cancelled
203,310,pro,2026-03-07,2026-03-21,cancelled
204,312,pro,2026-02-06,,active
205,314,basic,2026-03-12,2026-03-26,cancelled
206,315,pro,2026-01-23,2026-02-21,cancelled
207,316,pro,2026-02-01,,active
208,319,basic,2026-02-27,2026-03-13,cancelled
209,320,pro,2026-01-11,2026-02-03,cancelled
210,322,basic,2026-01-10,2026-03-09,cancelled
211,323,basic,2025-11-06,,active
212,324,pro,2025-12-06,2025-12-31,cancelled
213,329,basic,2026-03-01,2026-03-15,cancelled
214,330,pro,2026-01-27,,active
215,331,pro,2026-02-06,2026-02-24,cancelled
216,332,pro,2025-11-25,,active
217,333,pro,2026-02-18,,active
218,334,pro,2026-03-07,,active
219,336,basic,2026-01-27,,active
220,337,pro,2026-02-28,,active
221,339,basic,2026-02-22,,active
222,340,pro,2026-03-10,,active
223,341,pro,2025-10-03,,active
224,342,basic,2026-02-12,,active
225,344,basic,2026-02-15,,active
226,345,pro,2026-03-04,2026-03-18,expired
227,347,basic,2026-02-28,,active
228,352,basic,2025-12-25,2026-02-12,cancelled
229,353,basic,2026-01-25,2026-02-14,cancelled
230,355,basic,2026-03-01,2026-03-15,cancelled
231,357,basic,2026-03-12,2026-03-26,cancelled
232,359,basic,2026-02-18,2026-03-07,cancelled
233,360,pro,2026-01-25,2026-02-21,expired
234,362,basic,2026-01-18,2026-02-14,cancelled
235,363,basic,2026-03-06,,active
236,364,basic,2026-02-20,,active
237,365,basic,2026-01-06,2026-02-01,cancelled
238,366,pro,2026-02-14,2026-03-10,cancelled
239,367,basic,2026-02-11,2026-03-11,expired
240,368,pro,2026-02-26,,active
241,370,basic,2025-12-17,2026-02-11,expired
242,372,enterprise,2026-01-12,2026-02-16,expired
243,375,basic,2026-03-12,,active
244,377,pro,2025-10-22,,active
245,378,pro,2026-03-09,,active
246,380,basic,2025-11-25,,active
247,381,basic,2026-02-08,,active
248,382,basic,2026-01-11,,active
249,383,basic,2026-03-05,,active
250,385,pro,2026-02-01,2026-02-19,cancelled
251,386,basic,2026-02-22,,active
252,387,basic,2026-03-07,2026-03-21,cancelled
253,388,basic,2026-03-10,2026-03-24,cancelled
254,389,pro,2026-01-12,,active
255,390,basic,2026-03-06,,active
256,391,basic,2025-12-28,,active
257,393,basic,2026-01-20,,active
258,394,basic,2026-03-12,2026-03-26,cancelled
259,395,pro,2026-03-11,,active
260,396,enterprise,2025-11-28,,active
261,397,basic,2026-01-29,2026-03-12,cancelled
262,400,basic,2025-12-04,2026-02-24,cancelled
263,403,basic,2026-03-09,2026-03-23,cancelled
264,404,pro,2026-02-16,,active
265,406,pro,2025-11-24,2026-01-27,cancelled
266,408,pro,2026-01-18,,active
267,409,basic,2026-02-11,,active
268,411,basic,2026-02-25,,active
269,412,pro,2026-01-19,,active
270,415,basic,2026-03-09,,active
271,416,basic,2026-02-12,,active
272,417,pro,2026-03-10,,active
273,419,basic,2026-03-02,,active
274,421,enterprise,2026-03-12,,active
275,422,basic,2025-12-31,2026-01-25,cancelled
276,423,basic,2026-02-24,,active
277,425,basic,2026-02-28,2026-03-14,expired
278,427,basic,2026-01-27,2026-02-16,cancelled
279,429,pro,2025-12-23,2026-03-02,expired
280,432,pro,2026-02-11,,active
281,433,basic,2026-02-02,2026-02-17,cancelled
282,434,enterprise,2026-02-13,2026-03-12,cancelled
283,435,basic,2026-03-08,2026-03-22,cancelled
284,436,pro,2026-03-09,,active
285,437,pro,2025-12-27,2026-01-19,cancelled
286,439,basic,2026-01-27,,active
287,441,basic,2026-02-10,,active
288,443,basic,2026-02-23,2026-03-12,cancelled
289,444,basic,2026-03-02,,active
290,445,basic,2026-03-05,2026-03-19,expired
291,446,enterprise,2026-03-09,,active
292,448,pro,2025-12-25,2026-01-18,cancelled
293,453,basic,2026-02-25,,active
294,454,pro,2026-02-28,,active
295,457,basic,2026-01-03,,active
296,458,basic,2026-02-14,2026-03-05,cancelled
297,461,basic,2026-02-08,2026-03-12,cancelled
298,463,basic,2026-01-29,2026-03-03,cancelled
299,464,basic,2025-11-23,2026-01-11,cancelled
300,465,basic,2025-12-22,,active
301,466,basic,2025-11-20,2026-01-20,expired
302,467,pro,2026-03-04,,active
303,468,basic,2026-02-01,2026-03-06,expired
304,469,basic,2026-03-09,2026-03-23,cancelled
305,471,basic,2025-12-29,,active
306,472,pro,2026-02-09,,active
307,473,basic,2026-03-06,,active
308,475,basic,2026-03-06,2026-03-20,cancelled
309,477,basic,2026-02-22,2026-03-08,cancelled
310,478,basic,2026-02-17,2026-03-07,cancelled
311,479,basic,2026-02-22,2026-03-11,expired
312,482,basic,2026-01-23,2026-02-17,cancelled
313,483,basic,2026-02-27,,active
314,484,basic,2026-02-11,,active
315,486,basic,2026-03-08,,active
316,493,pro,2025-12-28,,active
317,497,basic,2026-01-12,,active
318,498,enterprise,2026-03-05,,active
319,504,pro,2026-02-07,2026-03-05,cancelled
320,506,pro,2025-12-16,,active
321,507,enterprise,2026-02-24,,active
322,509,basic,2026-01-25,,active
323,513,basic,2025-12-22,2026-01-07,expired
324,514,pro,2026-02-27,2026-03-13,cancelled
325,515,basic,2025-10-04,,active
326,517,basic,2026-03-04,,active
327,518,enterprise,2026-03-10,,active
328,519,enterprise,2025-12-11,2026-02-14,cancelled
329,522,pro,2026-01-13,,active
330,523,pro,2025-11-28,,active
331,524,basic,2026-02-06,,active
332,525,basic,2026-03-12,,active
333,526,pro,2025-12-09,,active
334,527,pro,2026-03-10,,active
335,528,basic,2026-01-11,,active
336,532,basic,2026-01-13,2026-01-29,cancelled
337,533,pro,2026-02-26,2026-03-12,expired
338,534,basic,2026-02-15,,active
339,535,enterprise,2026-02-11,,active
340,537,basic,2026-02-15,2026-03-02,cancelled
341,538,basic,2025-10-23,,active
342,539,pro,2026-02-05,2026-03-04,cancelled
343,542,basic,2026-03-06,2026-03-20,cancelled
344,544,basic,2026-01-02,,active
345,545,basic,2026-02-14,,active
346,546,basic,2026-01-20,2026-02-05,cancelled
347,549,basic,2026-02-19,,active
348,550,enterprise,2026-02-25,2026-03-12,cancelled
349,554,pro,2026-03-03,,active
350,555,basic,2026-02-21,,active
351,556,basic,2025-10-17,2026-01-16,cancelled
352,557,basic,2026-02-22,2026-03-08,cancelled
353,560,basic,2025-12-11,,active
354,561,pro,2026-03-10,2026-03-24,cancelled
355,562,enterprise,2026-01-03,2026-02-04,cancelled
356,563,pro,2026-01-28,,active
357,566,pro,2026-02-11,,active
358,567,basic,2026-02-11,2026-03-07,cancelled
359,570,basic,2026-01-05,,active
360,573,basic,2026-02-12,2026-02-26,expired
361,574,enterprise,2026-01-23,,active
362,575,basic,2025-12-22,2026-02-08,cancelled
363,576,pro,2025-10-08,,active
364,577,basic,2026-02-17,,active
365,578,pro,2026-03-09,,active
366,582,basic,2026-02-01,,active
367,584,enterprise,2026-03-01,,active
368,585,basic,2026-01-21,2026-02-19,cancelled
369,586,basic,2026-03-04,2026-03-18,cancelled
370,587,enterprise,2026-03-07,2026-03-21,cancelled
371,588,pro,2026-03-12,2026-03-26,cancelled
372,589,pro,2026-03-08,2026-03-22,cancelled
373,590,pro,2026-01-15,,active
374,592,basic,2026-02-03,2026-02-17,expired
375,593,basic,2026-03-07,,active
376,597,pro,2025-12-31,2026-02-04,cancelled
377,598,pro,2026-03-11,2026-03-25,expired
378,599,pro,2026-03-05,,active
379,601,basic,2026-03-02,,active
380,602,basic,2026-01-14,2026-02-01,cancelled
381,604,basic,2025-11-28,2026-02-24,expired
382,608,pro,2026-02-17,2026-03-07,cancelled
383,609,basic,2026-02-06,,active
384,610,pro,2026-02-10,,active
385,611,pro,2026-03-01,2026-03-15,cancelled
386,613,basic,2025-12-20,,active
387,615,basic,2026-03-06,,active
388,616,basic,2025-11-08,,active
389,618,basic,2026-02-28,,active
390,620,basic,2025-10-10,2025-12-22,expired
391,621,basic,2026-02-19,,active
392,623,basic,2026-03-02,,active
393,624,basic,2026-03-10,,active
394,626,basic,2026-02-16,,active
395,627,pro,2025-11-03,,active
396,628,basic,2025-12-19,2026-02-07,cancelled
397,629,pro,2026-03-04,2026-03-18,cancelled
398,630,enterprise,2026-02-28,,active
399,631,basic,2026-01-26,2026-03-01,expired
400,632,basic,2026-02-11,,active
401,633,basic,2026-01-31,2026-02-28,expired
402,634,enterprise,2026-02-22,2026-03-10,cancelled
403,635,pro,2026-02-17,2026-03-10,cancelled
404,636,basic,2026-02-20,,active
405,637,basic,2026-03-01,2026-03-15,cancelled
406,638,basic,2026-03-03,,active
407,639,pro,2026-03-04,,active
408,640,pro,2025-11-27,2026-01-30,cancelled
409,641,pro,2026-02-24,2026-03-11,cancelled
410,643,basic,2025-11-30,,active
411,644,enterprise,2026-03-11,,active
412,646,enterprise,2026-02-22,,active
413,649,pro,2025-11-20,2026-02-18,cancelled
414,650,basic,2026-02-21,2026-03-07,expired
415,651,basic,2025-10-15,,active
416,653,basic,2026-03-02,2026-03-16,cancelled
417,655,basic,2026-01-09,2026-02-11,cancelled
418,657,pro,2025-12-19,,active
419,660,pro,2025-12-07,,active
420,661,pro,2026-02-19,,active
421,663,enterprise,2026-02-03,2026-03-07,cancelled
422,664,basic,2026-03-12,,active
423,666,basic,2026-03-09,,active
424,667,basic,2026-01-29,,active
425,669,basic,2025-12-21,,active
426,672,basic,2025-11-07,,active
427,674,basic,2025-11-03,,active
428,678,pro,2026-03-11,,active
429,679,basic,2026-01-29,,active
430,680,basic,2026-03-07,,active
431,682,basic,2026-02-16,,active
432,683,pro,2026-03-12,2026-03-26,cancelled
433,685,basic,2025-09-30,,active
434,686,basic,2026-02-22,2026-03-12,cancelled
435,688,basic,2026-02-17,2026-03-06,cancelled
436,691,basic,2026-01-06,,active
437,693,basic,2026-01-29,2026-02-13,cancelled
438,694,pro,2026-03-12,,active
439,695,basic,2026-01-17,,active
440,696,basic,2025-11-27,2026-01-06,cancelled
441,697,pro,2025-12-12,,active
442,701,basic,2026-01-31,2026-03-05,cancelled
443,702,basic,2026-03-12,2026-03-26,expired
444,704,pro,2025-11-22,2025-12-18,expired
445,707,pro,2025-12-06,,active
446,709,basic,2026-03-05,,active
447,710,basic,2026-02-11,2026-02-28,cancelled
448,711,basic,2026-01-06,2026-02-24,expired
449,712,basic,2026-01-24,,active
450,713,basic,2026-03-08,,active
451,714,basic,2026-03-09,,active
452,715,pro,2026-01-10,2026-02-16,cancelled
453,717,basic,2026-02-07,,active
454,719,basic,2026-02-25,2026-03-11,expired
455,721,basic,2025-11-17,,active
456,722,enterprise,2025-11-26,,active
457,723,basic,2026-02-17,2026-03-09,cancelled
458,727,basic,2026-03-06,,active
459,728,basic,2026-02-25,2026-03-11,cancelled
460,729,basic,2026-02-24,2026-03-11,cancelled
461,730,basic,2025-11-10,2026-02-16,expired
462,733,pro,2026-01-19,,active
463,734,pro,2026-03-11,,active
464,736,basic,2026-01-29,,active
465,737,basic,2026-03-10,,active
466,738,pro,2026-01-03,2026-01-27,cancelled
467,739,pro,2026-01-16,2026-03-07,cancelled
468,742,basic,2026-02-16,,active
469,743,basic,2026-01-31,2026-02-25,expired
470,744,basic,2025-10-24,,active
471,745,pro,2026-03-09,,active
472,747,basic,2026-03-06,2026-03-20,cancelled
473,749,pro,2026-02-19,,active
474,752,basic,2026-03-10,,active
475,753,pro,2026-03-10,,active
476,754,basic,2026-01-31,2026-02-24,cancelled
477,755,basic,2026-03-12,,active
478,757,basic,2026-02-21,,active
479,758,enterprise,2026-02-09,,active
480,762,basic,2026-01-13,,active
481,763,pro,2026-01-18,2026-03-10,cancelled
482,764,basic,2026-03-01,,active
483,765,basic,2026-01-01,2026-02-03,cancelled
484,766,pro,2025-12-17,,active
485,767,pro,2026-02-26,2026-03-12,expired
486,769,basic,2026-02-04,,active
487,772,enterprise,2026-02-25,2026-03-12,expired
488,774,basic,2026-03-08,,active
489,775,pro,2026-01-18,2026-02-27,cancelled
490,777,basic,2025-12-31,,active
491,778,basic,2026-02-23,2026-03-12,cancelled
492,779,basic,2026-02-18,,active
493,780,basic,2026-01-31,2026-02-20,cancelled
494,781,basic,2026-01-01,2026-01-26,cancelled
495,782,pro,2025-10-16,,active
496,784,basic,2025-10-03,2026-01-29,expired
497,787,pro,2025-10-29,,active
498,788,basic,2026-02-05,,active
499,792,pro,2026-03-07,2026-03-21,cancelled
500,793,basic,2025-12-18,2026-01-28,cancelled
501,794,enterprise,2026-01-23,,active
502,796,basic,2026-01-14,,active
503,797,pro,2026-01-14,2026-02-06,cancelled
504,800,enterprise,2026-03-07,,active
505,803,enterprise,2026-02-18,,active
506,804,pro,2026-02-25,2026-03-11,cancelled
507,805,basic,2025-11-15,2026-01-18,expired
508,807,enterprise,2026-01-15,,active
509,809,basic,2026-03-09,2026-03-23,expired
510,810,basic,2026-02-03,,active
511,811,pro,2026-03-04,,active
512,813,basic,2025-11-21,,active
513,814,pro,2026-03-02,2026-03-16,cancelled
514,817,basic,2026-02-14,,active
515,818,pro,2026-03-03,2026-03-17,cancelled
516,819,enterprise,2026-03-07,2026-03-21,expired
517,820,basic,2026-02-26,,active
518,821,basic,2026-01-31,2026-02-20,cancelled
519,822,basic,2026-02-02,2026-03-06,cancelled
520,829,pro,2026-03-08,,active
521,830,pro,2026-01-25,,active
522,831,enterprise,2025-12-27,,active
523,832,pro,2026-02-28,2026-03-14,cancelled
524,834,pro,2025-12-09,,active
525,835,basic,2026-01-22,2026-02-23,expired
526,836,basic,2026-02-20,,active
527,837,basic,2026-02-20,,active
528,838,basic,2026-03-09,,active
529,839,basic,2026-03-07,2026-03-21,cancelled
530,843,basic,2026-01-31,,active
531,845,basic,2025-11-08,,active
532,846,basic,2026-02-19,2026-03-07,expired
533,847,basic,2026-02-26,,active
534,848,basic,2026-02-09,,active
535,849,basic,2025-11-08,,active
536,850,enterprise,2026-03-12,2026-03-26,expired
537,852,pro,2026-03-08,2026-03-22,cancelled
538,853,basic,2026-02-19,2026-03-07,cancelled
539,856,basic,2026-02-26,,active
540,857,basic,2026-02-03,,active
541,860,basic,2026-02-14,,active
542,861,pro,2025-12-11,,active
543,862,pro,2025-11-06,2026-02-23,cancelled
544,863,pro,2026-02-14,,active
545,865,pro,2026-01-15,,active
546,866,pro,2026-02-10,2026-02-24,cancelled
547,868,basic,2025-11-14,2025-12-17,cancelled
548,869,pro,2026-02-09,,active
549,871,basic,2026-02-18,2026-03-11,cancelled
550,875,basic,2026-03-06,2026-03-20,cancelled
551,876,basic,2026-03-07,,active
552,877,basic,2026-02-21,2026-03-07,cancelled
553,878,basic,2026-02-02,,active
554,881,basic,2026-01-02,2026-02-04,expired
555,882,basic,2025-12-03,2026-02-20,cancelled
556,883,basic,2026-01-06,2026-02-16,cancelled
557,884,basic,2026-02-13,,active
558,885,basic,2025-12-15,2026-01-26,cancelled
559,888,pro,2026-01-06,,active
560,889,enterprise,2026-03-05,,active
561,892,basic,2026-02-06,,active
562,893,basic,2025-11-27,,active
563,894,basic,2026-01-28,2026-03-01,expired
564,895,basic,2026-02-21,,active
565,896,pro,2025-12-17,2026-02-19,cancelled
566,897,pro,2026-01-08,2026-02-20,expired
567,898,pro,2026-01-19,2026-02-13,cancelled
568,899,enterprise,2026-01-08,2026-01-28,cancelled
569,900,basic,2026-02-26,,active
570,901,pro,2026-02-26,2026-03-12,cancelled
571,903,pro,2026-02-11,2026-02-27,cancelled
572,904,basic,2026-03-09,2026-03-23,expired
573,905,pro,2026-02-05,,active
574,908,basic,2026-02-28,,active
575,909,basic,2026-02-09,2026-03-09,expired
576,910,pro,2026-02-15,,active
577,911,pro,2026-01-15,,active
578,912,pro,2026-02-19,2026-03-12,expired
579,913,basic,2026-01-05,,active
580,914,basic,2026-02-23,,active
581,915,basic,2026-02-25,,active
582,916,pro,2026-02-08,2026-02-25,cancelled
583,918,pro,2025-12-16,,active
584,920,basic,2026-03-08,,active
585,922,pro,2026-03-11,,active
586,923,pro,2026-01-28,2026-03-04,cancelled
587,924,basic,2025-11-18,2026-01-07,cancelled
588,925,basic,2026-02-03,,active
589,926,basic,2026-03-05,2026-03-19,cancelled
590,927,basic,2025-12-24,,active
591,928,pro,2026-02-15,2026-03-09,cancelled
592,929,basic,2026-02-24,,active
593,930,basic,2026-02-09,2026-02-24,expired
594,931,pro,2026-02-27,2026-03-13,expired
595,933,basic,2025-12-25,2026-01-21,expired
596,934,basic,2026-03-12,,active
597,935,basic,2026-03-01,,active
598,936,basic,2025-11-06,,active
599,937,pro,2026-02-28,2026-03-14,expired
600,939,pro,2026-03-03,,active
601,940,basic,2026-02-16,2026-03-08,cancelled
602,942,pro,2026-03-06,2026-03-20,expired
603,943,basic,2026-03-03,2026-03-17,expired
604,944,pro,2026-03-07,2026-03-21,cancelled
605,945,pro,2025-12-31,,active
606,950,pro,2026-03-11,2026-03-25,cancelled
607,952,basic,2026-01-20,2026-02-03,expired
608,954,basic,2026-03-12,,active
609,955,basic,2026-03-08,2026-03-22,cancelled
610,958,basic,2026-01-04,,active
611,959,basic,2026-03-07,2026-03-21,cancelled
612,960,basic,2026-03-05,2026-03-19,expired
613,961,basic,2026-03-03,2026-03-17,expired
614,962,basic,2026-02-17,,active
615,963,basic,2026-02-20,,active
616,964,pro,2025-12-28,,active
617,965,basic,2026-01-26,2026-02-23,cancelled
618,966,pro,2026-03-06,2026-03-20,expired
619,967,basic,2026-02-05,,active
620,968,pro,2026-03-03,,active
621,971,basic,2026-03-02,,active
622,972,basic,2026-02-28,2026-03-14,expired
623,973,pro,2026-02-14,2026-03-07,expired
624,974,basic,2026-03-10,,active
625,976,pro,2026-02-05,,active
626,977,basic,2026-01-19,2026-02-25,expired
627,978,pro,2026-02-28,,active
628,979,basic,2025-10-30,,active
629,980,basic,2025-12-19,,active
630,982,basic,2026-02-11,2026-03-06,expired
631,983,pro,2026-03-03,,active
632,984,basic,2025-10-29,,active
633,985,basic,2025-12-23,2026-03-07,expired
634,987,basic,2026-02-23,,active
635,988,basic,2026-03-10,2026-03-24,expired
636,990,basic,2026-02-15,,active
637,991,pro,2026-03-06,2026-03-20,expired
638,993,pro,2026-03-04,,active
639,996,enterprise,2026-02-25,2026-03-11,expired
640,997,pro,2026-02-11,2026-02-28,cancelled
641,998,enterprise,2025-12-28,2026-01-26,expired
642,1000,basic,2026-02-19,2026-03-11,cancelled
643,1001,enterprise,2026-03-11,,active
644,1002,pro,2026-02-16,,active
645,1003,enterprise,2026-03-10,,active
646,1004,basic,2025-12-15,,active
647,1007,enterprise,2025-11-10,,active
648,1008,basic,2026-02-17,,active
649,1010,enterprise,2026-01-15,,active
650,1011,basic,2025-12-15,,active
651,1013,basic,2025-11-23,,active
652,1014,basic,2026-02-26,,active
653,1015,pro,2026-02-28,2026-03-14,cancelled
654,1016,pro,2025-12-19,2026-02-28,cancelled
655,1018,enterprise,2026-02-05,,active
656,1019,basic,2026-03-10,,active
657,1021,basic,2026-02-08,2026-03-03,cancelled
658,1022,basic,2026-03-12,,active
659,1023,pro,2026-01-10,2026-03-05,cancelled
660,1025,basic,2026-03-02,2026-03-16,cancelled
661,1031,basic,2026-01-03,2026-02-07,cancelled
662,1034,pro,2025-12-25,,active
663,1035,basic,2026-02-13,2026-03-01,cancelled
664,1036,basic,2026-03-08,2026-03-22,cancelled
